CNN,STREET,PCI_Score,From_Street,To_Street,PCI_Change_Date,Treatment_or_Survey,Street_Accepted_For_Maintenance,Functional_Class
4550002,Cumberland St,64,End,Noe St,9/29/17,Survey,Yes,Residential
984000,19th St,99,Hartford St,Castro St,9/29/17,Survey,Yes,Residential
9971000,Ord St,95,Market St,18th St,9/29/17,Survey,Yes,Residential
4548000,Cumberland St,84,Church St,End,9/29/17,Survey,Yes,Residential
12237000,Storrie St,95,Market St,18th St \ Hattie St,9/29/17,Survey,Yes,Residential
4741000,Diamond St,94,21st St,22nd St,9/28/17,Survey,Yes,Residential
1286000,23rd St,95,Douglass St,Hoffman Ave,9/28/17,Survey,Yes,Residential
4737000,Diamond St,83,Market St,18th St,9/28/17,Survey,Yes,Residential
11528000,Sanchez St,99,Elizabeth St,24th St,9/28/17,Survey,Yes,Residential
4269000,Collingwood St,95,Market St,18th St,9/28/17,Survey,Yes,Residential
3909000,Chattanooga St,95,21st St,22nd St,9/27/17,Survey,Yes,Residential
10898000,Ramona Ave,85,14th St,15th St,9/27/17,Survey,Yes,Residential
975000,19th St,98,Valencia St,Lapidge St,9/27/17,Survey,Yes,Residential
2259000,Ames St,98,22nd St,23rd St,9/27/17,Survey,Yes,Residential
979000,19th St,98,Oakwood St,Dolores St,9/27/17,Survey,Yes,Residential
10602000,Poplar St,98,24th St,25th St,9/27/17,Survey,Yes,Residential
978000,19th St,98,Guerrero St,Oakwood St,9/27/17,Survey,Yes,Residential
11426000,San Jose Ave,98,22nd St,Alvarado St,9/27/17,Survey,Yes,Residential
3385000,Burnett Ave,84,Golding Ln,Perego Ter,9/26/17,Survey,Yes,Residential
8408000,Lisbon St,100,Brazil Ave,Persia Ave,9/26/17,Treatment,Yes,Residential
13301000,Vienna St,100,Brazil Ave,Persia Ave,9/26/17,Treatment,Yes,Residential
8406000,Lisbon St,100,Avalon Ave,Excelsior Ave,9/26/17,Treatment,Yes,Residential
21497000,Brunswick St: Lowell St Intersection,100,LOWELL ST,Intersection,9/26/17,Treatment,No,
27547000,25th Ave: Anza St Intersection,100,ANZA ST,Intersection,9/26/17,Treatment,No,
21491000,Byron Ct: Lowell St Intersection,100,LOWELL ST,Intersection,9/26/17,Treatment,No,
21719000,Lisbon St: Persia Ave Intersection,100,PERSIA AVE,Intersection,9/26/17,Treatment,No,
3806000,Castro St,96,Cesar Chavez St,27th St \ Newburg St,9/25/17,Survey,Yes,Residential
