Origin Movement ID,Origin Display Name,Destination Movement ID,Destination Display Name,Date Range,Mean Travel Time (Seconds),Range - Lower Bound Travel Time (Seconds),Range - Upper Bound Travel Time (Seconds)
3843,100611 (3843),3392,406966 (3392),"10/1/2017 - 12/31/2017, Every day, Daily Average",1607,1215,2125
3843,100611 (3843),3393,406880 (3393),"10/1/2017 - 12/31/2017, Every day, Daily Average",1390,993,1943
3843,100611 (3843),3394,100284 (3394),"10/1/2017 - 12/31/2017, Every day, Daily Average",783,571,1072
3843,100611 (3843),3395,406994 (3395),"10/1/2017 - 12/31/2017, Every day, Daily Average",1456,1037,2042
3843,100611 (3843),3396,100381 (3396),"10/1/2017 - 12/31/2017, Every day, Daily Average",834,608,1142
3843,100611 (3843),3398,406969 (3398),"10/1/2017 - 12/31/2017, Every day, Daily Average",1410,1069,1859
3843,100611 (3843),3401,406801 (3401),"10/1/2017 - 12/31/2017, Every day, Daily Average",1451,1040,2023
3843,100611 (3843),3402,406991 (3402),"10/1/2017 - 12/31/2017, Every day, Daily Average",1435,997,2064
3843,100611 (3843),3403,406968 (3403),"10/1/2017 - 12/31/2017, Every day, Daily Average",1544,1140,2089
3843,100611 (3843),3405,40699D (3405),"10/1/2017 - 12/31/2017, Every day, Daily Average",1455,1042,2031
