CNN,Street_name,ST_TYPE,NHOOD,CNNTEXT,shape
4821000,DIVISADERO,ST,Pacific Heights,4821000,"LINESTRING (-122.44115459370137 37.791630842238, -122.44133285853907 37.792510646247)"
4820000,DIVISADERO,ST,Pacific Heights,4820000,"LINESTRING (-122.44098438072852 37.79075546213467, -122.44115459370137 37.791630842238)"
4822000,DIVISADERO,ST,Pacific Heights,4822000,"LINESTRING (-122.44133285853907 37.792510646247, -122.44152047871019 37.79343659113128)"
4828000,DIVISADERO,ST,Cow Hollow,4828000,"LINESTRING (-122.4424679135603 37.79811195182147, -122.44264789709733 37.79900005076836)"
4799201,DIVISADERO,ST,Hayes Valley,4799201,"LINESTRING (-122.43704561266036 37.771267424787126, -122.43700937475191 37.771348361087604, -122.43717380447833 37.77213714999286, -122.43723493203859 37.77220371221034)"
4803101,DIVISADERO,ST,North Panhandle,4803101,"LINESTRING (-122.43779874742566 37.77499194751034, -122.437867036851 37.775064841138914, -122.4380280833464 37.775845795981965, -122.43798984788495 37.77592540520735)"
4802201,DIVISADERO,ST,Alamo Square,4802201,"LINESTRING (-122.43761062393679 37.77406164662486, -122.43758111117486 37.774151860031424, -122.43773603501035 37.7749171633116, -122.43779874742566 37.77499194751034)"
4808101,DIVISADERO,ST,Anza Vista,4808101,"LINESTRING (-122.43874018341782 37.77965963009855, -122.43881177815253 37.77973086117221, -122.43896413356815 37.780511818697484, -122.43892675531767 37.78058848661974)"
4804201,DIVISADERO,ST,Alamo Square,4804201,"LINESTRING (-122.43798984788495 37.77592540520735, -122.43795182051792 37.77600919308167, -122.4381108330159 37.77679377653492, -122.43817704776706 37.77685588889572)"
4834000,DIVISADERO,ST,Marina,4834000,"LINESTRING (-122.4436025183974 37.80370493701751, -122.44379196715151 37.804637871622596)"
4801101,DIVISADERO,ST,North Panhandle,4801101,"LINESTRING (-122.43742293951387 37.77313349322287, -122.43748603511071 37.77321367348886, -122.43763829343357 37.773977499165504, -122.43761062393679 37.77406164662486)"
4801201,DIVISADERO,ST,Alamo Square,4801201,"LINESTRING (-122.43742293951387 37.77313349322287, -122.43738964741885 37.773229220055185, -122.43755152974644 37.77398775644672, -122.43761062393679 37.77406164662486)"
4802101,DIVISADERO,ST,North Panhandle,4802101,"LINESTRING (-122.43761062393679 37.77406164662486, -122.43767286855258 37.77413911030087, -122.43783224062847 37.77490352377529, -122.43779874742566 37.77499194751034)"
4803201,DIVISADERO,ST,Alamo Square,4803201,"LINESTRING (-122.43779874742566 37.77499194751034, -122.43776925088534 37.77507929410402, -122.43792620695035 37.77585871072509, -122.43798984788495 37.77592540520735)"
4804101,DIVISADERO,ST,North Panhandle,4804101,"LINESTRING (-122.43798984788495 37.77592540520735, -122.4380611114039 37.77599658989855, -122.43821336798791 37.776780187784034, -122.43817704776706 37.77685588889572)"
4805101,DIVISADERO,ST,North Panhandle,4805101,"LINESTRING (-122.43817704776706 37.77685588889572, -122.43824394483427 37.77692508010916, -122.438400798361 37.77770564186137, -122.43836550086624 37.777794188968834)"
4805201,DIVISADERO,ST,Alamo Square,4805201,"LINESTRING (-122.43817704776706 37.77685588889572, -122.43814145366464 37.77694036989831, -122.43829767714561 37.77772189484564, -122.43836550086624 37.777794188968834)"
4806101,DIVISADERO,ST,North Panhandle,4806101,"LINESTRING (-122.43836550086624 37.777794188968834, -122.43843409614163 37.77787666124213, -122.43858868152564 37.77864011231823, -122.43855227776923 37.77872410772495)"
4806201,DIVISADERO,ST,Alamo Square,4806201,"LINESTRING (-122.43836550086624 37.777794188968834, -122.4383322315909 37.77789081424811, -122.43848452160303 37.77865604642392, -122.43855227776923 37.77872410772495)"
4807101,DIVISADERO,ST,North Panhandle,4807101,"LINESTRING (-122.43855227776923 37.77872410772495, -122.43862122820852 37.778799571365326, -122.43877523282421 37.779578158098744, -122.43874018341782 37.77965963009855)"
4807201,DIVISADERO,ST,Western Addition,4807201,"LINESTRING (-122.43855227776923 37.77872410772495, -122.43851694507359 37.77881076825475, -122.43867263409145 37.77959067608781, -122.43874018341782 37.77965963009855)"
4808201,DIVISADERO,ST,Western Addition,4808201,"LINESTRING (-122.43874018341782 37.77965963009855, -122.43869760886534 37.77974273660214, -122.43885437687781 37.78052914818276, -122.43892675531767 37.78058848661974)"
4809101,DIVISADERO,ST,Anza Vista,4809101,"LINESTRING (-122.43892675531767 37.78058848661974, -122.43899250966763 37.78065189041131, -122.43915208619842 37.78144863661143, -122.43911393534971 37.7815203528516)"
4809201,DIVISADERO,ST,Western Addition,4809201,"LINESTRING (-122.43892675531767 37.78058848661974, -122.43888983232819 37.78066420045875, -122.43905046232561 37.78146880413765, -122.43911393534971 37.7815203528516)"
4810101,DIVISADERO,ST,Anza Vista,4810101,"LINESTRING (-122.43911393534971 37.7815203528516, -122.43917780074939 37.78158297612674, -122.43933636256945 37.78235121649278, -122.43929762511631 37.782450481277415)"
4810201,DIVISADERO,ST,Western Addition,4810201,"LINESTRING (-122.43911393534971 37.7815203528516, -122.4390771480457 37.78159784343642, -122.43922547071243 37.78236597758815, -122.43929762511631 37.782450481277415)"
4812101,DIVISADERO,ST,Lower Pacfic Heights,4812101,"LINESTRING (-122.43948038182064 37.78330848762415, -122.43954451648605 37.78338262673071, -122.43963873510933 37.78384658525041)"
4812102,DIVISADERO,ST,Lower Pacfic Heights,4812102,"LINESTRING (-122.43963873510933 37.78384658525041, -122.43971271162687 37.784230675721226, -122.43968467912573 37.78431867417618)"
4812201,DIVISADERO,ST,Lower Pacfic Heights,4812201,"LINESTRING (-122.43948038182064 37.78330848762415, -122.43945045222915 37.7833982931864, -122.43961993635216 37.78424328097293, -122.43968467912573 37.78431867417618)"
4813101,DIVISADERO,ST,Lower Pacfic Heights,4813101,"LINESTRING (-122.43968467912573 37.78431867417618, -122.43974770332761 37.7843940581838, -122.43990366217726 37.78516566406632, -122.43987261296931 37.785247526782136)"
4814101,DIVISADERO,ST,Lower Pacfic Heights,4814101,"LINESTRING (-122.43987261296931 37.785247526782136, -122.43993368009153 37.78532981543798, -122.44009439743257 37.78609966628952, -122.44006119930458 37.78617958369731)"
4814201,DIVISADERO,ST,Lower Pacfic Heights,4814201,"LINESTRING (-122.43987261296931 37.785247526782136, -122.43984650025794 37.78534145551857, -122.43999363101265 37.786113991084285, -122.44006119930458 37.78617958369731)"
4815101,DIVISADERO,ST,Lower Pacfic Heights,4815101,"LINESTRING (-122.44006119930458 37.78617958369731, -122.44012078718289 37.78624385209769, -122.44027766648198 37.787024519134064, -122.4402499560136 37.78711245554227)"
4815201,DIVISADERO,ST,Lower Pacfic Heights,4815201,"LINESTRING (-122.44006119930458 37.78617958369731, -122.44002936003938 37.78625908046323, -122.44018331174034 37.78703973746486, -122.4402499560136 37.78711245554227)"
4816101,DIVISADERO,ST,Lower Pacfic Heights,4816101,"LINESTRING (-122.4402499560136 37.78711245554227, -122.44031205693273 37.787186802135786, -122.44047235112484 37.78798962266892, -122.44044011443242 37.78806716531624)"
